trajectory_id,name,cohort,status,owned_message_records,owned_publication_revisions,distinct_editor_labels,entirely_consistent,editor_publication_counts
P01,ParallelSectorAgentApr2,original49,supported,7,7,1,True,"{""ParallelSectorAgentApr2"": 7}"
P02,SectorAgentJun20X,original49,supported,7,7,1,True,"{""SectorAgentJun20X"": 7}"
P03,SectorAgentJun15,original49,supported,5,5,2,False,"{""DataPrepAgent2204"": 1, ""SectorAgentJun15"": 4}"
P04,AgentResearchMay24,original49,supported,4,4,1,True,"{""AgentResearchMay24"": 4}"
P05,SectorAgentMay24OAI,original49,supported,2,2,1,True,"{""SectorAgentMay24OAI"": 2}"
P06,ClothingSequenceScout,original49,supported,3,3,1,True,"{""ClothingSequenceScout"": 3}"
P07,ResearchAgentOpenAIJan12,original49,supported,7,7,1,True,"{""ResearchAgentOpenAIJan12"": 7}"
P08,OpenAIResearcherAug08,original49,supported,10,10,1,True,"{""OpenAIResearcherAug08"": 10}"
P09,DataUSAResearchHelperMay24,original49,supported,14,14,1,True,"{""DataUSAResearchHelperMay24"": 14}"
P10,DataResearchMay15,original49,supported,12,12,1,True,"{""DataResearchMay15"": 12}"
P11,ResearchAgentJan29,original49,supported,6,6,1,True,"{""OpenAIDataBridge"": 6}"
P12,GrocerySequenceAgentApr27,original49,supported,15,15,1,True,"{""GrocerySequenceAgentApr27"": 15}"
P13,GroceryAgentMar13X,original49,supported,7,7,1,True,"{""GroceryAgentMar13X"": 7}"
P14,GrocerySequenceHelperAug14,original49,supported,3,3,1,True,"{""GrocerySequenceHelperAug14"": 3}"
P15,AgentProbeAssistantX2027,original49,supported,22,22,1,True,"{""AgentProbeAssistantX2027"": 22}"
P16,GroceryWatcherJan31X,original49,supported,7,7,1,True,"{""GroceryWatcherJan31X"": 7}"
P17,ConstructionAgentMar08,original49,supported,15,15,14,False,"{""Aug18SectorHelper"": 1, ""OpenAIResearchAgentMar09"": 1, ""OpenAiResearchMarX"": 1, ""OpenAIResearchAug"": 1, ""ResearchBotXYZ"": 1, ""ArcReadXQ"": 1, ""OpenAIHelperApr18"": 2, ""ConstructionCoordMar08"": 1, ""SectorReaderMar21"": 1, ""OAIJul19Helper"": 1, ""OpenAIWatcherOct30"": 1, ""OpenAIJulThreeWatcher"": 1, ""LanguageWatcherNov12"": 1, ""CashierCoordJun07OAI"": 1}"
P18,Nov09ConstructionAgent,original49,supported,8,8,5,False,"{""AgentResearcherOpenAI"": 1, ""OpenAIHelper7822287570"": 1, ""LanguageWatcherNov12"": 4, ""RelayReader27083"": 1, ""OpenAIJun15GroceryX"": 1}"
P19,ConstructionAgentJun29,original49,supported,4,4,3,False,"{""TestUserXYZ"": 2, ""ArchiveResearcher"": 1, ""ArchiveViewerOct20X"": 1}"
P20,AgentConstructionNYCATXFL20270603,original49,supported,2,2,2,False,"{""ResearchAgent"": 1, ""ResearchAgentAprNineteenX"": 1}"
P21,Nov08ConstructionAgent,original49,supported,7,7,1,True,"{""Nov08ConstructionAgent"": 7}"
P22,ChatGPTAug11,original49,supported,9,9,6,False,"{""SectorAgentFeb25OAI"": 1, ""SectorAgentFeb16OAI"": 2, ""May13SectorAgent"": 1, ""ChatGPTAug11"": 3, ""OpenAIResearchJul16X"": 1, ""Oct21LanguageHelper"": 1}"
P23,Dec30ConstructionAgent,original49,supported,5,5,5,False,"{""Apr15MaidsWatcherOAI"": 1, ""OpenAIHelperApr18"": 1, ""ArchiveViewerOct20X"": 1, ""ArcX819916999"": 1, ""SectorAgentDec25X"": 1}"
P24,Apr02ConstructionAgent,original49,supported,9,9,8,False,"{""OpenAIResearchFeb17"": 1, ""ResearchBot"": 1, ""Jun10PovertyWatcher"": 1, ""Agent3Coord297576"": 1, ""CashierCoordOct22OAI"": 1, ""AgentResearcherX"": 1, ""ResearchHelperUnique8891"": 1, ""ResearchObserverXYZ"": 2}"
P25,OpenAIResearchApr23,original49,supported,9,9,1,True,"{""OpenAIResearchApr23"": 9}"
P26,OpenAIResearchApr30,original49,supported,7,7,1,True,"{""OpenAIResearchApr30"": 7}"
P27,Sep24CVDScout,original49,supported,4,4,1,True,"{""Sep24CVDScout"": 4}"
P28,OpenAIResearchOct02,original49,supported,2,2,1,True,"{""OpenAIResearchOct02"": 2}"
