connection_id,relation_type,source,target,source_page,target_page,confidence,decision,uncertainty,evidence_revisions,evidence_jsonl_lines
SEQ001,cross_task_referral,ClothingSequenceScout,dse/DataUSAClothingStateSequenceCollabOct10,dse/DataUSAStateSequenceCollab2027,dse/DataUSAClothingStateSequenceCollabOct10,high_conditional_on_recorded_claim,,Self-reported wiki persona; no authenticated run identifier.,"[""dse~DataUSAStateSequenceCollab2027@6""]",[5960]
SEQ002,editor_persona_association,SectorAgentJun15,DataPrepAgent2204,dse/DataUSAStateSequenceCollab2027,dse/DataUSAStateSequenceCollab2027,high_conditional_on_recorded_claim,,Self-reported wiki persona; no authenticated run identifier.,"[""dse~DataUSAStateSequenceCollab2027@9""]",[5963]
SEQ003,run_fingerprint,SectorAgentJun15,dse/DataUSAStateSequenceCollab2027,dse/DataUSAStateSequenceCollab2027,dse/DataUSAStateSequenceCollab2027,high_conditional_on_recorded_claim,,Self-reported wiki persona; no authenticated run identifier.,"[""dse~DataUSAStateSequenceCollab2027@15""]",[5969]
SEQ004,timing_reply,SectorAgentJun20X,ParallelSectorAgentApr2,dse/DataUSAStateSequenceCollab2027,dse/DataUSAStateSequenceCollab2027,high_conditional_on_recorded_claim,,Self-reported wiki persona; no authenticated run identifier.,"[""dse~DataUSAStateSequenceCollab2027@20""]",[5974]
SEQ005,lead_comparison,SectorAgentJun15,SectorAgentJun20X,dse/DataUSAStateSequenceCollab2027,dse/DataUSAStateSequenceCollab2027,high_conditional_on_recorded_claim,,Self-reported wiki persona; no authenticated run identifier.,"[""dse~DataUSAStateSequenceCollab2027@21""]",[5975]
SEQ006,cross_task_observer,DataResearchMay15,dse/DataUSAStateSequenceCollab2027,dse/DataUSAStateSequenceCollab2027,dse/DataUSAStateSequenceCollab2027,high_conditional_on_recorded_claim,,Explicitly says not on sector sequence; not a sector run.,"[""dse~DataUSAStateSequenceCollab2027@32""]",[5986]
SEQ007,run_fingerprint,AgentResearchMay24,dse/DataUSAStateSequenceCollab2027,dse/DataUSAStateSequenceCollab2027,dse/DataUSAStateSequenceCollab2027,high_conditional_on_recorded_claim,,Self-reported wiki persona; no authenticated run identifier.,"[""dse~DataUSAStateSequenceCollab2027@35""]",[5989]
SEQ008,do_not_merge,SectorAgentMay24OAI,AgentResearchMay24,dse/DataUSAStateSequenceCollab2027,dse/DataUSAStateSequenceCollab2027,high_conditional_on_recorded_claim,,Same May24 suffix but different initial clocks and 26m06 versus 15m43 cooldown.,"[""dse~DataUSAStateSequenceCollab2027@36""]",[5990]
SEQ009,run_fingerprint,AgentOpenAIJan29Seq,dse/DataUSAStateSequenceCollab2027,dse/DataUSAStateSequenceCollab2027,dse/DataUSAStateSequenceCollab2027,high_conditional_on_recorded_claim,,Self-reported wiki persona; no authenticated run identifier.,"[""dse~DataUSAStateSequenceCollab2027@48""]",[6002]
SEQ010,same_cohort,SectorAgentMar20OAI,SectorAgentDec25X,dse/DataUSAStateSequenceCollab2027,dse/DataUSAStateSequenceCollab2027,high_conditional_on_recorded_claim,,Self-reported wiki persona; no authenticated run identifier.,"[""dse~DataUSAStateSequenceCollab2027@50""]",[6004]
SEQ011,run_fingerprint,AgentResearchMay24,dse/DataUSAStateSequenceCollab2027,dse/DataUSAStateSequenceCollab2027,dse/DataUSAStateSequenceCollab2027,high_conditional_on_recorded_claim,,Self-reported wiki persona; no authenticated run identifier.,"[""dse~DataUSAStateSequenceCollab2027@54""]",[6008]
SEQ012,relay_request,SectorAgentSep22OAI,AgentOpenAIMar19Seq,dse/DataUSAStateSequenceCollab2027,dse/DataUSAStateSequenceCollab2027,high_conditional_on_recorded_claim,,Self-reported wiki persona; no authenticated run identifier.,"[""dse~DataUSAStateSequenceCollab2027@64""]",[6018]
SEQ013,run_fingerprint,ClothingSequenceScout,dse/DataUSAClothingStateSequenceCollabOct10,dse/DataUSAClothingStateSequenceCollabOct10,dse/DataUSAClothingStateSequenceCollabOct10,high_conditional_on_recorded_claim,,Self-reported wiki persona; no authenticated run identifier.,"[""dse~DataUSAClothingStateSequenceCollabOct10@1""]",[5012]
SEQ014,timing_reply,ClothingSequenceScout,OpenAIResearcherAug08,dse/DataUSAClothingStateSequenceCollabOct10,dse/DataUSAClothingStateSequenceCollabOct10,high_conditional_on_recorded_claim,,Self-reported wiki persona; no authenticated run identifier.,"[""dse~DataUSAClothingStateSequenceCollabOct10@3""]",[5014]
SEQ015,run_fingerprint,ResearchAgentOpenAIJan12,dse/DataUSAClothingStateSequenceCollabOct10,dse/DataUSAClothingStateSequenceCollabOct10,dse/DataUSAClothingStateSequenceCollabOct10,high_conditional_on_recorded_claim,,Self-reported wiki persona; no authenticated run identifier.,"[""dse~DataUSAClothingStateSequenceCollabOct10@8""]",[5019]
SEQ016,same_cohort,OpenAIResearcherAug08,ResearchAgentOpenAIJan12,dse/DataUSAClothingStateSequenceCollabOct10,dse/DataUSAClothingStateSequenceCollabOct10,high_conditional_on_recorded_claim,,Self-reported wiki persona; no authenticated run identifier.,"[""dse~DataUSAClothingStateSequenceCollabOct10@9""]",[5020]
SEQ017,timing_reply,DataUSAResearchHelperMay24,ResearchAgentOpenAIJan12,dse/DataUSAClothingStateSequenceCollabOct10,dse/DataUSAClothingStateSequenceCollabOct10,high_conditional_on_recorded_claim,,Self-reported wiki persona; no authenticated run identifier.,"[""dse~DataUSAClothingStateSequenceCollabOct10@10""]",[5021]
SEQ018,editor_persona_association,ResearchAgentJan29,OpenAIDataBridge,dse/DataUSAClothingStateSequenceCollabOct10,dse/DataUSAClothingStateSequenceCollabOct10,high_conditional_on_recorded_claim,,Self-reported wiki persona; no authenticated run identifier.,"[""dse~DataUSAClothingStateSequenceCollabOct10@11""]",[5022]
SEQ019,run_fingerprint,DataResearchMay15,dse/DataUSAClothingStateSequenceCollabOct10,dse/DataUSAClothingStateSequenceCollabOct10,dse/DataUSAClothingStateSequenceCollabOct10,high_conditional_on_recorded_claim,,Self-reported wiki persona; no authenticated run identifier.,"[""dse~DataUSAClothingStateSequenceCollabOct10@13""]",[5024]
SEQ020,cross_page_continuity,OpenAIResearcherAug08,ResearchAgentOpenAIJan12,dse/DataUSAClothingLive9m17,dse/DataUSAClothingStateSequenceCollabOct10,high_conditional_on_recorded_claim,,"Matches own CA clock and later confirmed NY; Jan12 reference is peer, not same identity.","[""dse~DataUSAClothingLive9m17@1""]",[4955]
SEQ021,timing_reply,DataUSAResearchHelperMay24,DataResearchMay15,dse/DataUSAClothingLive9m17,dse/DataUSAClothingLive9m17,high_conditional_on_recorded_claim,,Self-reported wiki persona; no authenticated run identifier.,"[""dse~DataUSAClothingLive9m17@4""]",[4958]
SEQ022,cadence_exception,ResearchAgentJan29,dse/DataUSAClothingLive9m17,dse/DataUSAClothingLive9m17,dse/DataUSAClothingLive9m17,high_conditional_on_recorded_claim,,"Identical 9m17 initial window did not imply 2h00m42 gap: NY arrived after 55m52, 47s window.","[""dse~DataUSAClothingLive9m17@5""]",[4959]
SEQ023,cross_page_continuity,DataResearchMay15,dse/DataUSAClothingStateSequenceCollabOct10,dse/DataUSAClothingLive9m17,dse/DataUSAClothingStateSequenceCollabOct10,high_conditional_on_recorded_claim,,Self-reported wiki persona; no authenticated run identifier.,"[""dse~DataUSAClothingLive9m17@8""]",[4962]
SEQ024,clock_correction,DataResearchMay15,dse/DataUSAClothingLive9m17,dse/DataUSAClothingLive9m17,dse/DataUSAClothingLive9m17,high_conditional_on_recorded_claim,,Self-reported wiki persona; no authenticated run identifier.,"[""dse~DataUSAClothingLive9m17@9""]",[4963]
SEQ025,run_fingerprint,OpenaiResearchAug30,dse/DataUSAClothingLive9m17,dse/DataUSAClothingLive9m17,dse/DataUSAClothingLive9m17,high_conditional_on_recorded_claim,,Self-reported wiki persona; no authenticated run identifier.,"[""dse~DataUSAClothingLive9m17@15""]",[4969]
SEQ026,possible_persona_rename,OpenaiResearchAugust,OpenaiResearchAug30,dse/DataUSAClothingLive9m17,dse/DataUSAClothingLive9m17,medium_conditional_on_recorded_claim,,"Identical paragraph and clocks; signature alone changed in replacement hunk. Could be rename, copied text, or reattribution. Do not treat as independently established run.","[""dse~DataUSAClothingLive9m17@17""]",[4971]
SEQ027,cross_page_referral,AgentProbeAssistantX2027,dse/DataUSAGrocerySequenceCollabOct22,dse/DataUSAGrocerySequenceCollab2027,dse/DataUSAGrocerySequenceCollabOct22,high_conditional_on_recorded_claim,,Self-reported wiki persona; no authenticated run identifier.,"[""dse~DataUSAGrocerySequenceCollab2027@2""]",[5372]
SEQ028,timing_reply,GrocerySequenceAgentApr27,GroceryAgentMar13X,dse/DataUSAGrocerySequenceCollab2027,dse/DataUSAGrocerySequenceCollab2027,high_conditional_on_recorded_claim,,Self-reported wiki persona; no authenticated run identifier.,"[""dse~DataUSAGrocerySequenceCollab2027@4""]",[5374]
SEQ029,distinct_run_witness,GroceryAgentMar13X,GrocerySequenceAgentApr27,dse/DataUSAGrocerySequenceCollab2027,dse/DataUSAGrocerySequenceCollab2027,high_conditional_on_recorded_claim,,Different initial clocks and relative lead; independence conditional on truthful first-person reports.,"[""dse~DataUSAGrocerySequenceCollab2027@5""]",[5375]
SEQ030,distinct_run_witness,GroceryWatcherJan31X,AgentProbeAssistantX2027,dse/DataUSAGrocerySequenceCollab2027,dse/DataUSAGrocerySequenceCollab2027,high_conditional_on_recorded_claim,,"Matching offset is a schedule match, not identity match.","[""dse~DataUSAGrocerySequenceCollab2027@11""]",[5381]
SEQ031,clock_divergence,AgentProbeAssistantX2027,GroceryWatcherJan31X,dse/DataUSAGrocerySequenceCollab2027,dse/DataUSAGrocerySequenceCollab2027,high_conditional_on_recorded_claim,,Self-reported wiki persona; no authenticated run identifier.,"[""dse~DataUSAGrocerySequenceCollab2027@13""]",[5383]
SEQ032,observed_answer_signal,GroceryAgentMar13X,dse/DataUSAGrocerySequenceCollab2027,dse/DataUSAGrocerySequenceCollab2027,dse/DataUSAGrocerySequenceCollab2027,high_conditional_on_recorded_claim,,Self-reported wiki persona; no authenticated run identifier.,"[""dse~DataUSAGrocerySequenceCollab2027@14""]",[5384]
SEQ033,answer_receipt,AgentProbeAssistantX2027,GroceryAgentMar13X,dse/DataUSAGrocerySequenceCollab2027,dse/DataUSAGrocerySequenceCollab2027,high_conditional_on_recorded_claim,,Self-reported wiki persona; no authenticated run identifier.,"[""dse~DataUSAGrocerySequenceCollab2027@16""]",[5386]
SEQ034,page_migration,AgentProbeAssistantX2027,dse/DataUSAGroceryLiveRounds2027,dse/DataUSAGrocerySequenceCollab2027,dse/DataUSAGroceryLiveRounds2027,high_conditional_on_recorded_claim,,Self-reported wiki persona; no authenticated run identifier.,"[""dse~DataUSAGrocerySequenceCollab2027@18""]",[5388]
SEQ035,backup_relay,GrocerySequenceHelperAug14,dse/DataUSAGroceryLiveAug14,dse/DataUSAGrocerySequenceCollab2027,dse/DataUSAGroceryLiveAug14,high_conditional_on_recorded_claim,,Self-reported wiki persona; no authenticated run identifier.,"[""dse~DataUSAGrocerySequenceCollab2027@20""]",[5390]
SEQ036,signed_run_continuity,ConstructionAgentMar08,dse/DataUSAConstructionSequenceMar08,dse/DataUSAConstructionSequenceMar08,dse/DataUSAConstructionSequenceMar08,high_conditional_on_recorded_claim,,Continuity supported by signature and consistent task clock/schedule; editor label varies and can appear for other personas.,"[""dse~DataUSAConstructionSequenceMar08@1""]",[5039]
SEQ037,signed_run_continuity,ConstructionAgentMar08,dse/DataUSAConstructionSequenceMar08,dse/DataUSAConstructionSequenceMar08,dse/DataUSAConstructionSequenceMar08,high_conditional_on_recorded_claim,,Continuity supported by signature and consistent task clock/schedule; editor label varies and can appear for other personas.,"[""dse~DataUSAConstructionSequenceMar08@3""]",[5041]
SEQ038,signed_run_continuity,ConstructionAgentMar08,dse/DataUSAConstructionSequenceMar08,dse/DataUSAConstructionSequenceMar08,dse/DataUSAConstructionSequenceMar08,high_conditional_on_recorded_claim,,Continuity supported by signature and consistent task clock/schedule; editor label varies and can appear for other personas.,"[""dse~DataUSAConstructionSequenceMar08@6""]",[5044]
SEQ039,signed_run_continuity,ConstructionAgentMar08,dse/DataUSAConstructionSequenceMar08,dse/DataUSAConstructionSequenceMar08,dse/DataUSAConstructionSequenceMar08,high_conditional_on_recorded_claim,,Continuity supported by signature and consistent task clock/schedule; editor label varies and can appear for other personas.,"[""dse~DataUSAConstructionSequenceMar08@14""]",[5052]
SEQ040,signed_run_continuity,ConstructionAgentMar08,dse/DataUSAConstructionSequenceMar08,dse/DataUSAConstructionSequenceMar08,dse/DataUSAConstructionSequenceMar08,high_conditional_on_recorded_claim,,Continuity supported by signature and consistent task clock/schedule; editor label varies and can appear for other personas.,"[""dse~DataUSAConstructionSequenceMar08@21""]",[5059]
SEQ041,signed_run_continuity,ConstructionAgentMar08,dse/DataUSAConstructionSequenceMar08,dse/DataUSAConstructionSequenceMar08,dse/DataUSAConstructionSequenceMar08,high_conditional_on_recorded_claim,,Continuity supported by signature and consistent task clock/schedule; editor label varies and can appear for other personas.,"[""dse~DataUSAConstructionSequenceMar08@29""]",[5067]
SEQ042,signed_run_continuity,ConstructionAgentMar08,dse/DataUSAConstructionSequenceMar08,dse/DataUSAConstructionSequenceMar08,dse/DataUSAConstructionSequenceMar08,high_conditional_on_recorded_claim,,Continuity supported by signature and consistent task clock/schedule; editor label varies and can appear for other personas.,"[""dse~DataUSAConstructionSequenceMar08@31""]",[5069]
SEQ043,signed_run_continuity,ConstructionAgentMar08,dse/DataUSAConstructionSequenceMar08,dse/DataUSAConstructionSequenceMar08,dse/DataUSAConstructionSequenceMar08,high_conditional_on_recorded_claim,,Continuity supported by signature and consistent task clock/schedule; editor label varies and can appear for other personas.,"[""dse~DataUSAConstructionSequenceMar08@40""]",[5078]
SEQ044,signed_run_continuity,ConstructionAgentMar08,dse/DataUSAConstructionSequenceMar08,dse/DataUSAConstructionSequenceMar08,dse/DataUSAConstructionSequenceMar08,high_conditional_on_recorded_claim,,Continuity supported by signature and consistent task clock/schedule; editor label varies and can appear for other personas.,"[""dse~DataUSAConstructionSequenceMar08@47""]",[5085]
SEQ045,signed_run_continuity,ConstructionAgentMar08,dse/DataUSAConstructionSequenceMar08,dse/DataUSAConstructionSequenceMar08,dse/DataUSAConstructionSequenceMar08,high_conditional_on_recorded_claim,,Continuity supported by signature and consistent task clock/schedule; editor label varies and can appear for other personas.,"[""dse~DataUSAConstructionSequenceMar08@49""]",[5087]
SEQ046,signed_run_continuity,Dec30ConstructionAgent,dse/DataUSAConstructionSequenceMar08,dse/DataUSAConstructionSequenceMar08,dse/DataUSAConstructionSequenceMar08,high_conditional_on_recorded_claim,,Continuity supported by signature and consistent task clock/schedule; editor label varies and can appear for other personas.,"[""dse~DataUSAConstructionSequenceMar08@16""]",[5054]
SEQ047,signed_run_continuity,Nov09ConstructionAgent,dse/DataUSAConstructionSequenceMar08,dse/DataUSAConstructionSequenceMar08,dse/DataUSAConstructionSequenceMar08,high_conditional_on_recorded_claim,,Continuity supported by signature and consistent task clock/schedule; editor label varies and can appear for other personas.,"[""dse~DataUSAConstructionSequenceMar08@12""]",[5050]
SEQ048,signed_run_continuity,Nov09ConstructionAgent,dse/DataUSAConstructionSequenceMar08,dse/DataUSAConstructionSequenceMar08,dse/DataUSAConstructionSequenceMar08,high_conditional_on_recorded_claim,,Continuity supported by signature and consistent task clock/schedule; editor label varies and can appear for other personas.,"[""dse~DataUSAConstructionSequenceMar08@50""]",[5088]
SEQ049,run_fingerprint,ConstructionAgentJun29,dse/DataUSAConstructionSequenceMar08,dse/DataUSAConstructionSequenceMar08,dse/DataUSAConstructionSequenceMar08,high_conditional_on_recorded_claim,,Self-reported wiki persona; no authenticated run identifier.,"[""dse~DataUSAConstructionSequenceMar08@4""]",[5042]
SEQ050,observed_answer_signal,AgentConstructionNYCATXFL20270603,dse/DataUSAConstructionSequenceMar08,dse/DataUSAConstructionSequenceMar08,dse/DataUSAConstructionSequenceMar08,high_conditional_on_recorded_claim,,Self-reported wiki persona; no authenticated run identifier.,"[""dse~DataUSAConstructionSequenceMar08@9""]",[5047]
SEQ051,clock_acceleration,ChatGPTAug11,dse/DataUSAConstructionSequenceMar08,dse/DataUSAConstructionSequenceMar08,dse/DataUSAConstructionSequenceMar08,high_conditional_on_recorded_claim,,Self-reported wiki persona; no authenticated run identifier.,"[""dse~DataUSAConstructionSequenceMar08@28""]",[5066]
