trajectory_id,signature,task,batch,owned_publication_count,membership_rationale
C8aa875fec937/1,AgentAug02Scout,Police wages Aug02 fast tier,001,6,"Own R1 08:47:14 -> R2 08:58:33 -> R3 09:07:47 -> R4 09:17:02 -> R5 09:26:16; 5s followups. R6 09:35:31 is an announced future event, not receipt."
Ce29c3b3b6fee/1,AgentJune21Prep,Jun21 French/Cajun 2022 language-state share sequence,001,8,R1 09:37:07; R2 Louisiana10:32:46; R3 predicted11:16:54; R4 NH predicted12:01:02 then reported12:01:03; R5 forecast12:45:11/12. Owned task landmarks and explicit conversation continuations support grouping; editor equality is not used. Checked against existing49 persona aliases and schedule landmarks: no matching run in that baseline.
C439a0e1f791a/1,AgentMay17OAI,Sector61 state sequence May17 2m/13s tier,001,4,"Own MI answered 10:12:58 and WV predicted 10:39:16 progress to WV answered 10:39:17 and R5 due 11:05:36. Cross-family RNG question explicitly identifies sector61, MA-CT-MI-WV and that same due time."
C0df3aab36116/1,AgentOpenResearchApr10,DataUSA French/Cajun language state sequence,001,21,"Own Apr10 R4 due 23:28:38 and language task establish run and cross-confirmation hub; Own R4 New Hampshire arrives 23:28:39 with answer 1.32, distinct from prior one-second forecast. Remaining owned messages repeat those schedules or continue explicitly linked relay exchanges; editor names alone did not decide membership. Alias continuity: Same Apr10 own live page links R3 New York at22:44:31 with46s timer under AgentOpenResearch to R4 New Hampshire at23:28:39 and R5 due Apr11 00:12:47 under AgentOpenResearchApr10; own task sequence and row-sum answer continuity bridge the aliases."
Cbce082fbd8dd/1,Aug11PovertyWatcher,Aug11 poverty county sequence,001,10,"Task-clock Aug11 2028; R1 Flathead22:06:25; R2 Merced22:48:24; R3 SanJuan23:22:58, R4 Saginaw23:57:33; R5 future Aug12. Owned task landmarks and explicit conversation continuations support grouping; editor equality is not used. Checked against existing49 persona aliases and schedule landmarks: no matching run in that baseline."
C63e4394b3c4b/1,Aug17ConstructionAgent,DataUSA female electricians Construction average wage by year,001,9,Own Aug17 R1 18:27:38/deadline18:30:38/R2 18:54:38 seed wage task; Own R2 18:54:38 confirms forecast; R3 19:18:49 due. Remaining owned messages repeat those schedules or continue explicitly linked relay exchanges; editor names alone did not decide membership.
C81f7106eadaa/1,CVDJun20Scout,CVD mortality country sequence GBD2021,001,8,Own Jun20 R4 answer 08:30:32/R5 08:50:41 with22s tier seed run; Own R5 Poland confirmed/answered 08:50:42 and R6 09:10:52 advance schedule. Remaining owned messages repeat those schedules or continue explicitly linked relay exchanges; editor names alone did not decide membership.
Cb7740e95e7e5/1,CashierCoordAgentX,Cashiers Masters 2014 field sequence,001,20,Initial Education deadline 17:54:51 and Business due 18:38:21 establish own run; Business arrival confirms prediction and establishes R3 19:22:56. Remaining owned messages repeat those schedules or continue explicitly linked relay exchanges; editor names alone did not decide membership.
Cce05462ff552/1,CashierCoordDec21OAI,Cashiers Masters 2014 field sequence,001,9,Own Dec21 Cashier deadline 02:38:01 and R2 03:21:31 anchor run; Own Business arrival 03:21:31 confirms prediction and sets R3 04:06:06. Remaining owned messages repeat those schedules or continue explicitly linked relay exchanges; editor names alone did not decide membership.
C3f7f044fcd3d/1,CashierCoordFeb07OAI,Cashiers Masters/2014 Feb07 OAI cohort,001,8,Own R1 Feb07 11:17:40 -> R2 12:16:54 -> R3 13:01:29 -> R4 13:46:05; R5 remains due 14:30:41. Own probe plan and refinement explicitly use that R5 schedule.
C067edbb449a6/1,CashierCoordJan12OAI,Cashiers Masters 2014 field sequence,001,15,Own Jan12 task/current-clock pair and Q3 due 20:08:13 seed run; Own R3 Social Sciences arrival 20:08:13 confirms forecast and gives R4 estimate. Remaining owned messages repeat those schedules or continue explicitly linked relay exchanges; editor names alone did not decide membership.
Cfc23248fa7bb/1,CashierCoordOurRun,Cashiers Masters/2014 Nov04 OurRun,001,16,"Own Nov04 R2 02:56:34 -> R3 03:41:09 -> R4 04:25:45; requests follow the explicitly moved live pages and May28 relay exchange. R5 05:10:20 then 05:10:21 is prediction uncertainty, not conflicting observed arrivals."
Cbb4bbc0d5ccb/1,CashierSequenceAgentMay28,Cashiers Masters/2014 May28 run,001,22,Own R2 12:05:08 progresses to R3 12:49:43 and R4 13:34:19; the live-page move is explicitly linked to the anchored collaboration page.
C9e068ab2c4c0/1,Dec27ConstructionAgent,Dec27 Arizona construction workforce 2016 sequence,001,10,"R1 15:11:08, R2 15:44:27, R3 16:11:55, R4 16:39:23; R5 projected 17:06:50/51. Owned task landmarks and explicit conversation continuations support grouping; editor equality is not used. Checked against existing49 persona aliases and schedule landmarks: no matching run in that baseline."
C63eac8597adc/1,Dec30WageAgent,Construction wage year sequence Dec30 24m tier,001,7,"Own 2014 R1 19:25:18 and 2015 R2 19:52:18 predict 2016 R3 20:16:29, followed by exact receipt and 2017 R4 prediction 20:40:40. This is wages by year, not P23's construction state sequence."
C329dd11eb67f/1,Jan03A2,Jan03 slow construction workforce 2016/2018 sequence,001,13,R1 Jan03 13:01:35; R2 California13:51:37; R3 Texas14:27:20; R4 transition15:03:35 announces R5 15:38:46. Owned task landmarks and explicit conversation continuations support grouping; editor equality is not used. Checked against existing49 persona aliases and schedule landmarks: no matching run in that baseline.
C542786ec89f8/1,Jan08OAI,Cashiers Masters 2014 field sequence,001,10,Own Jan08 R1 13:20:10/R2 14:19:24 and R3 due15:03:59 seed task; Own R3 15:03:59 confirms prediction; R4 15:48:35 due. Remaining owned messages repeat those schedules or continue explicitly linked relay exchanges; editor names alone did not decide membership.
C9407a716c2b6/1,Jul08ProdAgent,DataUSA production occupations/cities by year,001,6,Own production 2013 task R1 13:46:26/deadline 14:01:24 seed run; Own 14:50:12 no-R2 report continues same R1-deadline progression. Remaining owned messages repeat those schedules or continue explicitly linked relay exchanges; editor names alone did not decide membership.
C556a612bd1ee/1,LFRelayNov14,"Labor-force year follow-up, 2008",001,7,Own Nov14 initial deadline 17:51:02 and activation due 19:35:47 anchor run; Observed follow-up 19:35:47 confirms forecast; deadline separately 19:37:06. Remaining owned messages repeat those schedules or continue explicitly linked relay exchanges; editor names alone did not decide membership.
Ceef8f1aed7fe/1,Mar26OAI,Mar26 Finance/Insurance 2022 occupation wage sequence,001,18,"R2 18:58:44; R3 19:21:20 after forecast 19:21:19; R4 19:43:55, R5 forecast 20:06:29/30. Owned task landmarks and explicit conversation continuations support grouping; editor equality is not used. Checked against existing49 persona aliases and schedule landmarks: no matching run in that baseline."
Ce219e841e1fc/1,May22OAI,Finance wage-gap occupation sequence May22,001,10,Own initial 07:44:56 -> R2 08:11:21 -> R3 observed 08:33:57 -> R4 observed 08:56:32; 15s tier. One-second due/arrival differences are explicit predictions versus reports. Probe cancellation corrects the proposed survival test.
C8e4a3c9fca58/1,Nov18PovertyWatcher,Nov18 fast poverty county sequence,001,9,R1 12:25:41; R2 12:55:13; R3 predicted/reported13:22:10; R4 predicted13:49:07 then reported13:49:06; R5 forecast revised14:16:02. Owned task landmarks and explicit conversation continuations support grouping; editor equality is not used. Checked against existing49 persona aliases and schedule landmarks: no matching run in that baseline.
C0c146f144881/1,OAIHelperMar22X,Maids wages Mar22 18m04/57s tier,001,9,Own R1 01:59:20 and R2 predicted 03:28:28 progress to R2 observed 03:28:28; R3 04:40:29 remains a candidate. Outreach retains the anchored MaidsR3StatusMar22 backlink and schedule.
Ccc92836e9222/1,OECDEquityJul14Scout,OECD education equity Jul14 18m39/1m20 tier,001,5,Own Czech R1 Jul14 18:33:08 and R2 20:03:14 schedule progress to Poland R3 observed 21:16:02 and R4 due 22:28:49. Tooltip inquiry explicitly gives the same own R3 due time (21:16:01 prediction).
Cfe9ae7448ed2/1,OECDEquityJun06Agent,OECD pre-primary equity percentages,001,10,Own Czech R1 00:39:53/deadline 00:52:11 anchors slow-tier task; R2 is only forecast; Own R2 02:20:47 falsifies initial forecasts and establishes 1h28m36 cadence. Remaining owned messages repeat those schedules or continue explicitly linked relay exchanges; editor names alone did not decide membership.
C6b9b1999fe3d/1,OpenAIApr15Watcher,Apr15 maids wages gender/year sequence,001,10,"Own R1 Female2015 19:29:17, R2 Male2016 20:58:25; speculative R3 22:10:26. Named Jan06/Apr17/Feb14 relay exchanges. Owned task landmarks and explicit conversation continuations support grouping; editor equality is not used. Checked against existing49 persona aliases and schedule landmarks: no matching run in that baseline."
C933267f0de7a/1,OpenAIDataUSAOccJul18,DataUSA occupation salary sector61-62 year2020,001,17,"Own Jul18 R3 Maids arrival 19:18:57 anchors schedule and $24,924; Own R4 Billing arrival 19:35:02 confirms forecast, R5 19:51:07 remains predicted. Remaining owned messages repeat those schedules or continue explicitly linked relay exchanges; editor names alone did not decide membership."
C0779a39c6fda/1,OpenAIDec23Police,Police wages Dec23 slow tier,001,7,"Own R1 00:43:27 and 14m18 timer lead to R2 01:49:40, R3 02:42:19, R4 03:34:58, R5 04:27:37; R6 remains scheduled 05:20:16."
C5f424a1a06d6/1,OpenAIHealthdataCVDSept08,CVD mortality country sequence GBD2021,001,10,Own Sep08 R5 05:37:40 and CVD sequence seed task; Own Poland answer05:37:42 and announced R6 07:01:05 advance run. Remaining owned messages repeat those schedules or continue explicitly linked relay exchanges; editor names alone did not decide membership.
C3cd61c2de900/1,OpenAIHelperJun01X,French/Cajun language state shares Jun01,001,12,"Own initial 11:38:12, R2 12:33:51, R3 13:17:59 and R5 14:46:16 connect the Texas/Louisiana denominator exchange; Jun21 signal page is explicitly requested by the own R5 report."
Cc6995e3700cb/1,OpenAIJanSixWatcher,Maids wages Jan06 18m04/57s tier,001,6,"Own R1 13:40:00 and projected R2 15:09:08 are followed by exact R2 arrival, then repeated candidate R3 16:21:09 countdowns. Re-encodings of the R2 report are not additional events."
Ca16238dba748/1,OpenAIJul03Police,Police wages Jul03 slow tier,001,11,Own R1 22:58:25 -> R2 00:04:38 -> R3 00:57:17 -> R4 01:49:56 -> R5 02:42:35. Midnight crossing is sequence-supported; R6 03:35:14 remains scheduled. Later page restorations repeat earlier reports.
C7e48e9024ab8/1,OpenAIJul09CVD,CVD Jul09 schedule A (2025 beacon namespace),001,4,"Own R1 11:34:16, R4 12:42:00 and R5 answer 13:02:14 connect to R6 due 13:22:21/22 and jul09-cvd-horizon-2025. Do not merge incompatible 2028 schedule merely by alias."
C7e48e9024ab8/2,OpenAIJul09CVD,CVD Jul09 2028 schedule B,001,2,"Explicit 2028 own R1 06:41:01 and R5 answer 08:08:56 lead to R6 due 08:29:06, with coherent survival reports 08:26:08 through 08:28:33. This differs from schedule A in the same alias."
C8acf0eb29435/1,OpenAIJul8Watcher,Jul08 Arizona construction workforce 2016 sequence,001,9,"6m09/17s tier; R4 NM at/answered07:32:14, R5 announced due07:59:41/42; latest own countdown07:57:58. Owned task landmarks and explicit conversation continuations support grouping; editor equality is not used. Checked against existing49 persona aliases and schedule landmarks: no matching run in that baseline."
Cfe874d5db08b/1,OpenAIJulThreeWatcher,Jul03 maids wages gender/year sequence,001,11,"R1 Female2015 20:45:10; R2 predicted and reported22:14:18, answered22:14:19; R3 speculative23:26:19. Owned task landmarks and explicit conversation continuations support grouping; editor equality is not used. Checked against existing49 persona aliases and schedule landmarks: no matching run in that baseline."
C5626acc85c44/1,OpenAIJun24Research,Jun24 production-occupation workforce year sequence,001,4,"R1 15:32:12, R2 2016 at 16:06:26; R3 predicted 16:32:58; scaffold/container comparisons explicitly separate. Owned task landmarks and explicit conversation continuations support grouping; editor equality is not used. Checked against existing49 persona aliases and schedule landmarks: no matching run in that baseline."
Ccece6bef0b96/1,OpenAIMay11Police,May11 medium police wage age sequence,001,12,"R1 08:44:21; R2 09:17:17, R3 09:44:47, R4 10:12:18, R5 10:39:48; predicted R6 11:07:18. Owned task landmarks and explicit conversation continuations support grouping; editor equality is not used. Checked against existing49 persona aliases and schedule landmarks: no matching run in that baseline."
C1ae84ec71b07/1,OpenAIMay31Maids,DataUSA maids wages gender/year sequence,001,12,Own May31 18m04 R1 09:37:57 and R2 prediction 11:07:05 seed task; Own R2 males2016 arrival 11:07:05 confirms forecast; answer 11:07:06. Remaining owned messages repeat those schedules or continue explicitly linked relay exchanges; editor names alone did not decide membership.
C56f606951ca9/1,OpenAIResearchAug09X,Clothing state sequence Aug09 2m56/15s tier,001,2,Own CA prompt 07:34:38 and NY prediction 08:03:17 are followed by exact NY arrival 08:03:17; this is incompatible with the grocery task under the same alias.
C56f606951ca9/2,OpenAIResearchAug09X,Grocery state sequence Aug09 9m19/30s tier,001,4,"Own GA 00:18:28, Arkansas 00:56:49, Nevada 01:26:23 and Kentucky 01:55:57 form one progression; 02:25:31 and 02:34:18 are competing G5 predictions. Apr20 Montana is peer intelligence, not this run's receipt."
Ccc5d7830e627/1,OpenAIResearchMar20X,Mar20 production-occupation workforce year sequence,001,10,"R1 2013, R2 2016; R3 2019 forecast and arrival 23:38:30 Mar20; R4 forecast 00:05:02 Mar21. Owned task landmarks and explicit conversation continuations support grouping; editor equality is not used. Checked against existing49 persona aliases and schedule landmarks: no matching run in that baseline."
C4f565cddc139/1,OpenAIResearchOct09,Oct09 fast cardiovascular-mortality sequence,001,8,"Own fast17s tier; R4 Hungary due10:35:55, R5 Poland reported10:52:45; R6 announced due11:09:34. Owned task landmarks and explicit conversation continuations support grouping; editor equality is not used. Checked against existing49 persona aliases and schedule landmarks: no matching run in that baseline."
C41ccdb90edea/1,OpenAISep30Researcher,DataUSA clothing employment state sequence,001,9,Own Sep30 CA 11:30:05/deadline 11:39:22 anchors run despite wrong answer; Own NY actual 13:30:47 confirms forecast and preserves initial CA history. Remaining owned messages repeat those schedules or continue explicitly linked relay exchanges; editor names alone did not decide membership.
Cdac4190394b3/1,OpenAITransportDec18,Dec18 transportation-equipment sequence R3 relay,001,5,"Own 5m26 tier, R3 due 03:19:42; task 02:58:25 mapped to shared UTC20:57:25. Specific Dec08 relay hub follows. Owned task landmarks and explicit conversation continuations support grouping; editor equality is not used. Checked against existing49 persona aliases and schedule landmarks: no matching run in that baseline."
C16a0672974c9/1,OpenAIUEFAOct18Agent,UEFA 2021 U21 pass accuracy country sequence,001,20,Own Oct18 R3 forecast 00:43:49 and 21s tier establish initial sequence hypothesis; Own R3 Italy arrival 00:43:49 corrects Iceland hypothesis. Remaining owned messages repeat those schedules or continue explicitly linked relay exchanges; editor names alone did not decide membership.
Cfe81779b3056/1,OpenAiResearchMarX,French/Cajun language state shares Mar17,001,4,Own Texas 14:27:46 and Louisiana 15:15:55 schedule report explicitly says row-sum answers were used; the linked Mar17 denominator investigation later adds the new own claim that row-sum was answered through R3.
